,id,data,jhi_timestamp,device_id
0,64566,"{""_id"":""60a6420b4fce3476558f8728"",""_xt"":""1621508619417"",""ei"":""352413080064321"",""si"":""9226103003325864"",""dt"":""2021-05-20T11:03:39.417Z"",""s"":""::ffff:109.166.139.241"",""c"":""#@H02@#;352413080064321;9226103003325864;862182;2021-05-20;14:03:38;1;G;0;N44.457782;E26.076084;97.5;25.234;31.23;1012;7;6;2021-05-20;14:03:38;N44.457782;E26.076084;98;50;226@10@140@16101@41;00;0;1;\u0001"",""y"":""2021"",""m"":""5"",""d"":""20"",""p"":""H02""}",1621508619417,3151
1,64567,"{""_id"":""60a6420b4fce3476558f872a"",""_xt"":""1621508619919"",""ei"":""352413080064321"",""si"":""9226103003325864"",""dt"":""2021-05-20T11:03:39.919Z"",""s"":""::ffff:109.166.139.241"",""c"":""#@H02@#;352413080064321;9226103003325864;862182;2021-05-20;14:03:38;1;G;0;N44.457782;E26.076084;97.5;25.234;31.23;1012;7;1;2021-05-20;14:03:38;N44.457782;E26.076084;98;50;226@10@140@16101@41;BS44.23+26.01;;\b;\u0001"",""y"":""2021"",""m"":""5"",""d"":""20"",""p"":""H02""}",1621508619919,3151
2,64568,"{""_id"":""60a642224fce3476558f872c"",""_xt"":""1621508642995"",""ei"":""352413080064321"",""si"":""9226103003325864"",""dt"":""2021-05-20T11:04:02.995Z"",""s"":""::ffff:109.166.139.241"",""c"":""#@H02@#;352413080064321;9226103003325864;862182;2021-05-20;14:04:01;1;G;0;N44.458538;E26.076765;108.0;3.681;0;1012;6;1;2021-05-20;14:03:38;N44.457782;E26.076084;110;50;226@10@140@16101@43;BS44.23+26.01;;V;\u0001"",""y"":""2021"",""m"":""5"",""d"":""20"",""p"":""H02""}",1621508642995,3151
3,64569,"{""_id"":""60a642de4fce3476558f8730"",""_xt"":""1621508830362"",""ei"":""352413080064321"",""si"":""9226103003325864"",""dt"":""2021-05-20T11:07:10.362Z"",""s"":""::ffff:109.166.139.241"",""c"":""#@H02@#;352413080064321;9226103003325864;862182;2021-05-20;14:07:08;1;G;0;N44.460777;E26.074389;119.0;9.246;316.61;1007;10;1;2021-05-20;14:04:01;N44.458538;E26.076765;129;50;226@10@100@31891@46;B044.23+26.01;;W;\u0001"",""y"":""2021"",""m"":""5"",""d"":""20"",""p"":""H02""}",1621508830362,3151
4,64570,"{""_id"":""60a643514fce3476558f8732"",""_xt"":""1621508945861"",""ei"":""352413080064321"",""si"":""9226103003325864"",""dt"":""2021-05-20T11:09:05.861Z"",""s"":""::ffff:109.166.139.241"",""c"":""#@H02@#;352413080064321;9226103003325864;862182;2021-05-20;14:09:04;1;G;0;N44.461548;E26.073631;104.9;0.288;0;1005;7;1;2021-05-20;14:07:08;N44.460777;E26.074389;137;50;226@10@140@31271@52;B044.23+26.01;;\u0002;\u0001"",""y"":""2021"",""m"":""5"",""d"":""20"",""p"":""H02""}",1621508945861,3151
5,64571,"{""_id"":""60a644094fce3476558f8735"",""_xt"":""1621509129623"",""ei"":""352413080064321"",""si"":""9226103003325864"",""dt"":""2021-05-20T11:12:09.623Z"",""s"":""::ffff:109.166.139.241"",""c"":""#@H02@#;352413080064321;9226103003325864;862182;2021-05-20;14:12:07;1;G;0;N44.465242;E26.067886;94.3;27.154;302.16;1003;10;1;2021-05-20;14:09:04;N44.461548;E26.073631;145;50;226@10@140@25941@61;B044.23+26.01;;\f;\u0001"",""y"":""2021"",""m"":""5"",""d"":""20"",""p"":""H02""}",1621509129623,3151
6,64572,"{""_id"":""60a644804fce3476558f873b"",""_xt"":""1621509248507"",""ei"":""352413080064321"",""si"":""9226103003325864"",""dt"":""2021-05-20T11:14:08.507Z"",""s"":""::ffff:109.166.139.241"",""c"":""#@H02@#;352413080064321;9226103003325864;862182;2021-05-20;14:14:07;1;G;0;N44.467846;E26.061553;90.2;40.116;300.32;1003;9;1;2021-05-20;14:12:07;N44.465242;E26.067886;153;50;226@10@140@32791@255;B044.23+26.01;;\t;\u0001"",""y"":""2021"",""m"":""5"",""d"":""20"",""p"":""H02""}",1621509248507,3151
7,64573,"{""_id"":""60a644ba4fce3476558f8742"",""_xt"":""1621509306478"",""ei"":""352413080064321"",""si"":""9226103003325864"",""dt"":""2021-05-20T11:15:06.478Z"",""s"":""::ffff:109.166.139.241"",""c"":""#@H02@#;352413080064321;9226103003325864;862182;2021-05-20;14:15:05;1;G;0;N44.470974;E26.059994;90.8;27.338;338.68;1003;8;1;2021-05-20;14:14:07;N44.467846;E26.061553;164;50;226@10@140@21856@19;B044.23+26.01;;\u000B;\u0001"",""y"":""2021"",""m"":""5"",""d"":""20"",""p"":""H02""}",1621509306478,3151
8,64574,"{""_id"":""60a644f84fce3476558f874a"",""_xt"":""1621509368918"",""ei"":""352413080064321"",""si"":""9226103003325864"",""dt"":""2021-05-20T11:16:08.918Z"",""s"":""::ffff:109.166.139.241"",""c"":""#@H02@#;352413080064321;9226103003325864;862182;2021-05-20;14:16:07;1;G;0;N44.472916;E26.058923;114.1;0.568;0;1003;6;1;2021-05-20;14:15:05;N44.470974;E26.059994;176;50;226@10@140@11856@43;BS44.23+26.01;;8;\u0001"",""y"":""2021"",""m"":""5"",""d"":""20"",""p"":""H02""}",1621509368918,3151
9,64575,"{""_id"":""60a645744fce3476558f874e"",""_xt"":""1621509492173"",""ei"":""352413080064321"",""si"":""9226103003325864"",""dt"":""2021-05-20T11:18:12.173Z"",""s"":""::ffff:109.166.139.241"",""c"":""#@H02@#;352413080064321;9226103003325864;862182;2021-05-20;14:18:10;1;G;0;N44.476513;E26.059681;86.5;5.680;78.02;1001;9;1;2021-05-20;14:16:07;N44.472916;E26.058923;203;50;226@10@140@35111@51;B044.23+26.01;;4;\u0001"",""y"":""2021"",""m"":""5"",""d"":""20"",""p"":""H02""}",1621509492173,3151
