,id,device_id,_id,_xt,ei,si,dt,s,c,y,m,d,p
0,64512,4553,60a5c1c2b8162d6c4fd1680b,1621475778375,352413080063513,9226101112454760,2021-05-20T01:56:18.375Z,::ffff:37.251.222.58,#@H02@#;352413080063513;9226101112454760;862182;2021-05-20;04:59:06;1;G;0;N44.456341;E26.075005;104.5;3.683;294.20;1001;7;6;2021-05-20;00:49:51;N44.456354;E26.075148;0;50;226@10@140@38121@59;00;0;H;,2021,5,20,H02
1,64515,4553,60a5c4d4b8162d6c4fd16826,1621476564416,352413080063513,9226101112454760,2021-05-20T02:09:24.416Z,::ffff:37.251.221.147,#@H02@#;352413080063513;9226101112454760;862182;2021-05-20;05:12:12;1;G;0;N44.456335;E26.074908;83.3;3.153;0;1001;5;6;2021-05-20;04:59:06;N44.456341;E26.075005;0;50;226@10@140@38121@58;00;0;X;,2021,5,20,H02
2,64519,4553,60a5ca61b8162d6c4fd16841,1621477985894,352413080063513,9226101112454760,2021-05-20T02:33:05.894Z,::ffff:109.166.133.128,#@H02@#;352413080063513;9226101112454760;862182;2021-05-20;05:35:53;1;G;0;N44.456290;E26.074875;84.1;1.098;0;1001;6;6;2021-05-20;05:12:12;N44.456335;E26.074908;0;50;226@10@140@38121@57;00;0;E;,2021,5,20,H02
3,64522,4553,60a5cd6db8162d6c4fd16857,1621478765117,352413080063513,9226101112454760,2021-05-20T02:46:05.117Z,::ffff:109.166.136.76,#@H02@#;352413080063513;9226101112454760;862182;2021-05-20;05:48:52;1;G;0;N44.456277;E26.075099;108.9;0.269;0;1001;5;6;2021-05-20;05:35:53;N44.456290;E26.074875;0;50;226@10@140@38121@59;00;0;`;,2021,5,20,H02
4,65174,4553,60a5a7eab8162d6c4fd16694,1621469162835,352413080063513,9226101112454760,2021-05-20T00:06:02.835Z,::ffff:93.122.251.7,#@H13@#;352413080063513;9226101112454760;862182;2021-05-20;03:08:50;reply;8;1020;;,2021,5,20,H13
5,64776,4553,60ab41014fce3476558f9e4e,1621836033247,352413080063513,9226101112454760,2021-05-24T06:00:33.247Z,::ffff:185.53.196.205,#@H02@#;352413080063513;9226101112454760;862182;2021-05-24;09:03:40;1;G;0;N44.456413;E26.075058;96.3;0.697;0;5100;6;6;2021-05-24;09:03:40;N44.456413;E26.075058;4;50;226@10@140@38121@58;00;0;:;,2021,5,24,H02
6,64777,4553,60ab41094fce3476558f9e51,1621836041509,352413080063513,9226101112454760,2021-05-24T06:00:41.509Z,::ffff:185.53.196.205,#@H02@#;352413080063513;9226101112454760;862182;2021-05-24;09:03:48;1;G;0;N44.456379;E26.074939;98.0;0.512;0;5100;5;6;2021-05-24;09:03:40;N44.456413;E26.075058;4;50;226@10@140@38121@58;00;0;0;,2021,5,24,H02
7,64779,4553,60ab43d44fce3476558f9e5d,1621836756080,352413080063513,9226101112454760,2021-05-24T06:12:36.080Z,::ffff:109.166.139.196,#@H02@#;352413080063513;9226101112454760;862182;2021-05-24;09:15:42;1;G;0;N44.456445;E26.075131;86.8;2.719;0;5100;6;6;2021-05-24;09:03:48;N44.456379;E26.074939;4;50;226@10@140@38121@57;00;0;;,2021,5,24,H02
8,64783,4553,60ab49a24fce3476558f9e8f,1621838242325,352413080063513,9226101112454760,2021-05-24T06:37:22.325Z,::ffff:109.166.138.9,#@H02@#;352413080063513;9226101112454760;862182;2021-05-24;09:40:29;1;G;0;N44.456282;E26.075137;126.1;0.922;0;5100;5;6;2021-05-24;09:15:42;N44.456445;E26.075131;4;50;226@10@140@38121@57;00;0;;,2021,5,24,H02
9,64784,4553,60ab4cac4fce3476558f9ea9,1621839020340,352413080063513,9226101112454760,2021-05-24T06:50:20.340Z,::ffff:93.122.250.64,#@H02@#;352413080063513;9226101112454760;862182;2021-05-24;09:53:27;1;G;0;N44.456353;E26.075125;124.0;3.148;0;5100;5;6;2021-05-24;09:40:28;N44.456282;E26.075137;4;50;226@10@140@38121@57;00;0;;,2021,5,24,H02
10,64786,4553,60ab4f5b4fce3476558f9ebd,1621839707361,352413080063513,9226101112454760,2021-05-24T07:01:47.361Z,::ffff:93.122.250.64,#@H02@#;352413080063513;9226101112454760;862182;2021-05-24;10:04:54;1;G;0;N44.456367;E26.074976;92.9;4.925;0;5100;4;6;2021-05-24;09:53:27;N44.456353;E26.075125;4;50;226@10@140@38121@57;00;0;';,2021,5,24,H02
11,64788,4553,60ab52234fce3476558f9ec9,1621840419801,352413080063513,9226101112454760,2021-05-24T07:13:39.801Z,::ffff:109.166.139.202,#@H02@#;352413080063513;9226101112454760;862182;2021-05-24;10:16:46;1;G;0;N44.456278;E26.074829;60.9;2.304;0;5100;5;6;2021-05-24;10:04:54;N44.456367;E26.074976;4;50;226@10@140@38121@57;00;0;.;,2021,5,24,H02
